标称截面,计算面积,单线根数,单线直径,绞线直径,单位长度质量JLB27,单位长度质量JLB35,单位长度质量JLB40,额定拉断力JLB27,额定拉断力JLB35,额定拉断力JLB40,20℃直流电阻JLB27,20℃直流电阻JLB35,20℃直流电阻JLB40
35,34.4,7,2.5,7.5,205.7,179.3,161.5,37.11,27.83,23.37,1.8828,1.4524,1.2708
40,41.6,7,2.75,8.25,248.9,216.9,195.4,44.9,33.68,28.27,1.5561,1.2003,1.0502
45,46.2,7,2.9,8.7,276.8,241.2,217.3,49.94,37.45,31.44,1.3993,1.0794,0.9444
50,49.5,7,3,9,296.3,258.2,232.6,53.44,40.08,33.65,1.3075,1.0086,0.8825
55,56.3,7,3.2,9.6,337.1,293.7,264.6,60.8,45.6,38.28,1.1492,0.8865,0.7756
65,67.3,7,3.5,10.5,403.2,351.4,316.6,72.74,54.55,45.8,0.9606,0.741,0.6483
70,71.3,7,3.6,10.8,426.6,371.8,334.9,76.95,57.71,48.45,0.908,0.7004,0.6128
80,79.4,7,3.8,11.4,475.3,414.2,373.2,85.74,64.3,53.98,0.8149,0.6286,0.55
90,90.2,7,4.05,12.2,539.9,470.5,423.9,97.39,73.04,61.32,0.7174,0.5534,0.4842
95,95.1,7,4.16,12.5,569.7,496.4,447.2,102.8,77.07,64.7,0.68,0.5245,0.4589
100,101,19,2.6,13,606.9,528.9,476.5,108.9,81.71,68.6,0.6444,0.4971,0.4349
120,121,19,2.85,14.3,729.2,635.5,572.5,130.9,98.18,82.42,0.5363,0.4137,0.362
150,148,19,3.15,15.8,890.8,776.3,699.4,159.9,119.9,100.7,0.439,0.3387,0.2963
170,173,19,3.4,17,1037.9,904.4,814.8,186.3,139.7,117.3,0.3769,0.2907,0.2543
185,183,19,3.5,17.5,1099.8,958.4,863.5,197.4,148.1,124.3,0.3556,0.2743,0.24
210,210,19,3.75,18.8,1262.5,1100.2,991.2,226.6,170,142.7,0.3098,0.239,0.2091
240,239,19,4,20,1436.5,1251.8,1127.8,257.9,193.4,162.4,0.2723,0.21,0.1838
300,298,37,3.2,22.4,1794.5,1563.8,1408.9,321.4,241,202.3,0.219,0.1689,0.1478
350,352,37,3.48,24.4,2122.3,1849.4,1666.2,381,285.1,239.3,0.1852,0.1428,0.125
380,377,37,3.6,25.2,2271.2,1979.1,1783.1,406.7,305.1,256.1,0.173,0.1335,0.1168
400,398,37,3.7,25.9,2399.1,2090.6,1883.6,429.7,322.2,270.5,0.1638,0.1263,0.1105
420,420,37,3.8,26.6,2530.6,2205.1,1986.8,453.2,339.9,285.3,0.1553,0.1198,0.1048
450,451,37,3.94,27.6,2720.5,2370.6,2135.9,487.2,365.4,306.8,0.1444,0.1114,0.0975
465,465,37,4,28,2803.9,2443.4,2201.4,502.2,376.6,316.2,0.1401,0.1081,0.0946
500,503,37,4.16,29.1,3032.7,2642.7,2381,543.1,407.3,342,0.1296,0.1,0.0875
510,513,37,4.2,29.4,3091.3,2693.8,2427,553.6,415.2,348.6,0.1271,0.0981,0.0858
590,588,37,4.5,31.5,3548.7,3092.4,2786.2,635.5,476.7,400.2,0.1107,0.0854,0.0747
600,599,37,4.54,31.9,3612.1,3147.6,2835.9,646.9,485.2,407.3,0.1088,0.0839,0.0734
600,600,61,3.54,32.7,3626,3159.7,2846.8,616,462,387.8,0.1087,0.0838,0.0734
630,631,61,3.63,32.7,3812.7,3322.4,2993.4,647.7,485.8,407.8,0.1034,0.0797,0.0698
670,670,37,4.8,33.6,4037.7,3518.5,3170,723.1,542.3,455.3,0.0973,0.0751,0.0657
800,805,61,4.1,36.9,4863.9,4238.4,3818.7,826.3,619.7,520.3,0.081,0.0625,0.0547
