标称截面,钢比,计算面积铝合金,计算面积钢,计算面积总和,铝合金单线根数,钢单线根数,铝合金单线直径,钢单线直径,钢芯直径,绞线直径,单位长度质量,额定拉断力JLHA1/G1A,额定拉断力JLHA1/G2A,额定拉断力JLHA1/G3A,额定拉断力JLHA2/G1A,额定拉断力JLHA2/G2A,额定拉断力JLHA2/G3A,20℃直流电阻JLHA1,20℃直流电阻JLHA2
10/2,16.7,10.6,1.78,12.4,6,1,1.50,1.50,1.50,4.50,42.8,5.51,5.76,6.01,5.20,5.44,5.69,3.1444,3.1147
16/3,16.7,16.1,2.69,18.8,6,1,1.85,1.85,1.85,5.55,65.2,8.39,8.76,9.14,7.90,8.28,8.66,2.0671,2.0476
35/6,16.7,34.9,5.81,40.7,6,1,2.72,2.72,2.72,8.16,140.9,17.96,18.77,19.52,16.91,17.72,18.48,0.9563,0.9472
50/8,16.7,48.3,8.04,56.3,6,1,3.20,3.20,3.20,9.60,195.0,24.53,25.66,26.78,23.08,24.21,25.33,0.6909,0.6844
50/30,58.3,50.7,29.6,80.3,12,7,2.32,2.32,6.96,11.6,371.3,50.22,54.36,58.21,48.70,52.84,56.69,0.6614,0.6552
70/10,16.7,68.0,11.3,79.3,6,1,3.80,3.80,3.80,11.4,275.0,33.91,34.70,36.63,32.55,33.34,35.27,0.4899,0.4853
70/40,58.3,69.7,40.7,110,12,7,2.72,2.72,8.16,13.6,510.4,69.03,74.73,80.01,66.94,72.63,77.92,0.4812,0.4766
95/15,16.2,94.4,15.3,110,26,7,2.15,1.67,5.01,13.6,380.5,48.62,50.76,52.91,45.79,47.93,50.08,0.3554,0.3521
95/20,19.8,95.1,18.8,114,7,7,4.16,1.85,5.55,13.9,408.5,51.98,54.62,57.25,50.08,52.72,55.35,0.3509,0.3476
95/55,58.3,96.5,56.3,153,12,7,3.20,3.20,9.60,16.0,706.4,93.29,101.2,109.1,90.40,98.3,106.2,0.3477,0.3444
120/7,5.6,119,6.61,125,18,1,2.90,2.90,2.90,14.5,378.9,46.17,47.10,47.95,42.60,43.53,44.39,0.2815,0.2788
120/20,16.3,116,18.8,134,26,7,2.38,1.85,5.55,15.1,466.4,59.61,62.24,64.88,56.14,58.77,61.41,0.2900,0.2873
120/25,19.8,122,24.2,147,7,7,4.72,2.10,6.30,15.7,526.0,66.95,70.34,73.74,64.50,67.89,71.29,0.2726,0.2700
120/70,58.3,122,71.3,193,12,7,3.60,3.60,10.8,18.0,894.0,116.9,121.8,134.0,114.4,119.4,131.5,0.2747,0.2721
150/8,5.6,145,8.04,153,18,1,3.20,3.20,3.20,16.0,461.3,55.90,57.02,58.15,51.55,52.68,53.80,0.2312,0.2290
150/20,12.9,146,18.8,164,24,7,2.78,1.85,5.55,16.7,549.0,69.36,71.99,74.63,64.99,67.62,70.26,0.2301,0.2279
150/25,16.3,149,24.2,173,26,7,2.70,2.10,6.30,17.1,600.5,76.75,80.14,83.54,72.28,75.68,79.07,0.2254,0.2232
150/35,23.3,147,34.4,182,30,7,2.50,2.50,7.50,17.5,675.4,87.03,91.84,96.31,82.61,87.42,91.89,0.2280,0.2258
185/10,5.6,183,10.2,193,18,1,3.60,3.60,3.60,18.0,583.8,68.91,69.62,71.35,65.25,65.96,67.69,0.1826,0.1809
185/25,13.0,187,24.2,211,24,7,3.15,2.10,6.30,18.9,705.5,89.15,92.55,95.94,83.54,86.94,90.33,0.1792,0.1775
185/30,16.3,181,29.6,211,26,7,2.98,2.32,6.96,18.9,732.0,92.67,96.81,100.7,87.23,91.37,95.2,0.1850,0.1833
185/45,23.3,185,43.1,228,30,7,2.80,2.80,8.40,19.6,847.2,109.2,115.2,120.8,103.6,109.7,115.3,0.1817,0.1800
210/10,5.6,204,11.3,215,18,1,3.80,3.80,3.80,19.0,650.5,76.78,77.57,79.50,72.70,73.49,75.42,0.1639,0.1624
210/25,13.0,209,27.1,236,24,7,3.33,2.22,6.66,20.0,788.4,99.63,103.4,107.2,93.36,97.2,100.9,0.1604,0.1589
210/35,16.2,212,34.4,246,26,7,3.22,2.50,7.50,20.4,853.1,108.0,112.8,117.3,101.6,106.4,110.9,0.1585,0.1570
210/50,23.3,209,48.8,258,30,7,2.98,2.98,8.94,20.9,959.7,123.7,130.5,136.8,117.4,124.2,130.6,0.1604,0.1589
240/30,13.0,244,31.7,276,24,7,3.60,2.40,7.20,21.6,921.5,113.1,117.5,121.6,108.2,112.6,116.7,0.1372,0.1359
240/40,16.3,239,38.9,278,26,7,3.42,2.66,7.98,21.7,963.5,122.0,127.4,132.5,114.8,120.3,125.3,0.1405,0.1391
240/55,23.3,241,56.3,298,30,7,3.20,3.20,9.60,22.4,1106.6,140.3,148.2,156.1,133.1,141.0,148.9,0.1391,0.1378
300/15,5.2,297,15.3,312,42,7,3.00,1.67,5.01,23.0,940.2,114.4,116.6,118.7,105.5,107.7,109.8,0.1131,0.1120
300/20,6.9,303,20.9,324,45,7,2.93,1.95,5.85,23.4,1001.8,123.1,126.0,128.9,114.0,116.9,119.8,0.1106,0.1095
300/25,8.8,306,27.1,333,48,7,2.85,2.22,6.66,23.8,1057.9,131.2,85.0,138.8,122.0,125.8,129.6,0.1096,0.1086
300/40,13.0,300,38.9,339,24,7,3.99,2.66,7.98,23.9,1132.0,138.9,144.3,149.4,132.9,138.3,143.4,0.1117,0.1107
300/50,16.3,300,48.8,348,26,7,3.83,2.98,8.94,24.3,1208.6,150.0,156.8,163.2,144.0,150.9,157.2,0.1120,0.1109
300/70,23.3,305,71.3,377,30,7,3.60,3.60,10.8,25.2,1400.5,174.6,179.6,191.7,168.5,173.4,185.6,0.1099,0.1089
400/20,5.1,406,20.9,427,42,7,3.51,1.95,5.85,26.9,1286.3,152.5,155.4,158.3,144.3,147.3,150.2,0.0826,0.0818
400/25,6.9,392,27.1,419,45,7,3.33,2.22,6.66,26.6,1294.7,159.1,162.9,166.7,147.3,151.1,154.9,0.0857,0.0849
400/35,8.8,391,34.4,425,48,7,3.22,2.50,7.50,26.8,1348.7,166.2,171.0,175.5,154.5,159.3,163.8,0.0859,0.0851
400/50,13.0,400,51.8,452,54,7,3.07,3.07,9.21,27.6,1510.5,186.9,194.2,201.4,174.9,182.2,189.4,0.0841,0.0833
400/65,16.3,399,65.1,464,26,7,4.42,3.44,10.3,28.0,1610.0,197.2,206.3,215.4,189.3,198.4,207.5,0.0841,0.0833
400/95,22.9,408,93.3,501,30,19,4.16,2.50,12.5,29.1,1857.9,234.8,247.8,259.9,226.6,239.7,251.8,0.0823,0.0816
460/60,13.0,465,60.2,525,54,7,3.31,3.31,9.93,29.8,1755.9,217.3,225.7,234.1,203.3,211.8,220.2,0.0723,0.0716
500/35,6.9,500,34.6,534,45,7,3.76,2.51,7.53,30.1,1651.3,196.9,201.7,206.2,186.9,191.7,196.2,0.0672,0.0666
500/45,8.8,489,43.1,532,48,7,3.60,2.80,8.40,30.0,1687.0,203.0,209.1,214.7,193.3,199.3,204.9,0.0687,0.0681
500/65,13.0,502,65.1,567,54,7,3.44,3.44,10.3,31.0,1896.5,234.7,243.8,252.9,219.6,228.7,237.8,0.0670,0.0663
630/45,6.9,629,43.4,673,45,7,4.22,2.81,8.43,33.8,2078.4,247.7,253.8,259.5,235.2,241.2,246.9,0.0533,0.0528
630/55,8.8,640,56.3,696,48,7,4.12,3.20,9.60,34.3,2208.3,263.5,271.4,279.3,250.7,258.6,266.5,0.0525,0.0520
630/80,12.7,622,78.9,701,54,19,3.83,2.30,11.5,34.5,2339.7,286.0,297.0,307.3,273.5,284.6,294.8,0.0540,0.0535
710/50,6.9,709,49.2,758,45,7,4.48,2.99,8.97,35.9,2344.2,279.5,286.4,292.7,265.3,272.2,278.6,0.0473,0.0469
710/90,12.6,709,89.6,799,54,19,4.09,2.45,12.3,36.8,2664.6,325.6,338.1,349.8,311.4,323.9,335.6,0.0474,0.0469
720/50,6.9,725,50.1,775,45,7,4.53,3.02,9.06,36.2,2395.9,283.6,290.6,297.7,269.1,276.1,283.2,0.0463,0.0459
800/35,4.3,799,34.6,834,72,7,3.76,2.51,7.53,37.6,2481.9,276.8,281.4,285.6,261.6,266.2,270.4,0.0420,0.0416
800/55,7.0,801,56.3,857,45,7,4.76,3.20,9.60,38.2,2652.7,314.2,322.1,329.9,298.2,306.0,313.9,0.0419,0.0415
800/65,8.3,799,66.6,866,84,7,3.48,3.48,10.4,38.3,2731.7,316.3,325.1,334.0,293.5,302.3,311.2,0.0421,0.0417
800/70,8.8,808,71.3,879,48,7,4.63,3.60,10.8,38.6,2790.1,332.9,337.9,350.0,316.8,321.8,333.9,0.0415,0.0412
800/100,12.7,799,101.7,901,54,19,4.34,2.61,13.1,39.1,3006.6,367.5,381.8,395.0,351.5,365.8,379.0,0.0421,0.0417
900/40,4.3,900,38.9,939,72,7,3.99,2.66,7.98,39.9,2793.8,311.5,316.7,321.5,294.4,299.6,304.4,0.0373,0.0370
900/75,8.3,898,74.9,973,84,7,3.69,3.69,11.1,40.6,3071.3,347.0,352.0,364.1,330.0,335.0,347.0,0.0374,0.0371
1000/45,4.31,002,43.1,1045,72,7,4.21,2.80,8.40,42.1,3108.8,346.6,352.3,357.7,327.6,333.3,338.6,0.0335,0.0332
1120/50,4.21,120,47.3,1167,72,19,4.45,1.78,8.90,44.5,3468.0,387.7,393.9,400.2,366.4,372.7,379.0,0.0300,0.0297
1120/90,8.11,120,91.0,1211,84,19,4.12,2.47,12.4,45.3,3813.4,433.7,445.8,457.1,412.4,424.5,435.8,0.0300,0.0297
1250/50,4.21,249,52.7,1302,72,19,4.70,1.88,9.40,47.0,3868.6,432.4,439.4,446.5,408.7,415.7,422.7,0.0269,0.0266
1250/70,5.61,252,70.1,1322,76,7,4.58,3.57,10.7,47.4,4011.1,447.9,452.6,463.9,424.1,428.8,440.1,0.0268,0.0266
1250/100,8.11,248,102,1350,84,19,4.35,2.61,13.1,47.9,4252.3,483.7,497.2,509.7,460.0,473.5,486.0,0.0269,0.0267
1300/105,8.11,301,106,1406,84,19,4.44,2.66,13.3,48.8,4427.6,503.5,517.6,530.6,478.8,492.9,505.9,0.0259,0.0255
1400/135,9.60,1400,134,1534,88,19,4.50,3.00,15.0,51.0,4926.4,564.3,582.1,598.7,537.7,555.5,572.1,0.0240,0.0238
1440/120,8.13,1439,117,1556,84,19,4.67,2.80,14.0,51.4,4899.7,557.3,572.8,587.3,529.9,545.5,559.9,0.0234,0.0232
