标称截面,钢比,计算面积铝,计算面积铝包钢,计算面积总和,铝单线根数,铝包钢单线根数,铝单线直径,铝包钢单线直径,铝包钢芯直径,绞线直径,单位长度质量,额定拉断力,20℃直流电阻JL/LB14,20℃直流电阻JL1/LB14,20℃直流电阻JL2/LB14,20℃直流电阻JL3/LB14
25/4,16.7,24.1,4.01,28.1,6,1,2.26,2.26,2.26,6.78,94.7,9.87,1.1476,1.1386,1.1297,1.1211
40/5,16.7,38.3,6.38,44.7,6,1,2.85,2.85,2.85,8.55,150.6,15.50,0.7216,0.7160,0.7104,0.7049
50/8,16.7,48.3,8.04,56.3,6,1,3.20,3.20,3.20,9.60,189.8,19.06,0.5724,0.5679,0.5635,0.5592
60/10,16.7,60.4,10.1,70.5,6,1,3.58,3.58,3.58,10.7,237.6,23.15,0.4573,0.4537,0.4502,0.4468
70/10,16.7,68.0,11.3,79.3,6,1,3.80,3.80,3.80,11.4,267.7,26.08,0.4059,0.4027,0.3996,0.3965
70/40,58.3,69.7,40.7,110,12,7,2.72,2.72,8.16,13.6,484.2,69.21,0.3645,0.3619,0.3593,0.3568
95/15,16.7,95.9,16.0,112,6,1,4.51,4.51,4.51,13.5,377.1,36.74,0.2882,0.2859,0.2837,0.2815
95/55,58.3,96.5,56.3,153,12,7,3.20,3.20,9.60,16.0,670.2,93.61,0.2633,0.2615,0.2596,0.2578
120/7,5.6,119,6.61,125,18,1,2.90,2.90,2.90,14.5,374.6,29.53,0.2391,0.2372,0.2353,0.2335
120/70,58.3,122,71.3,193,12,7,3.60,3.60,10.8,18.0,848.2,115.0,0.2081,0.2066,0.2051,0.2037
150/8,5.6,145,8.04,153,18,1,3.20,3.20,3.20,16.0,456.2,34.98,0.1964,0.1948,0.1933,0.1917
150/35,23.3,147,34.4,182,30,7,2.50,2.50,7.50,17.5,653.3,74.22,0.1861,0.1846,0.1832,0.1818
185/10,5.6,183,10.2,193,18,1,3.60,3.60,3.60,18.0,577.3,42.95,0.1552,0.1539,0.1527,0.1515
185/30,16.3,181,29.6,211,26,7,2.98,2.32,6.96,18.9,712.9,72.55,0.1534,0.1522,0.1510,0.1498
185/45,23.3,185,43.1,228,30,7,2.80,2.80,8.40,19.6,819.5,92.18,0.1483,0.1472,0.1461,0.1450
200/10,5.6,198,11.0,209,18,1,3.74,3.74,3.74,18.7,623.1,46.36,0.1438,0.1426,0.1415,0.1404
200/30,16.3,192,31.4,224,26,7,3.07,2.39,7.17,19.5,756.6,76.04,0.1445,0.1434,0.1423,0.1412
210/10,5.6,204,11.3,215,18,1,3.80,3.80,3.80,19.0,643.3,47.86,0.1393,0.1382,0.1371,0.1360
210/35,16.2,212,34.4,246,26,7,3.22,2.50,7.50,20.4,831.1,83.38,0.1314,0.1304,0.1294,0.1284
210/50,23.3,209,48.8,258,30,7,2.98,2.98,8.94,20.9,928.3,104.4,0.1310,0.1299,0.1289,0.1280
240/30,13.0,244,31.7,276,24,7,3.60,2.40,7.20,21.6,901.1,83.74,0.1146,0.1137,0.1128,0.1120
240/40,16.3,239,38.9,278,26,7,3.42,2.66,7.98,21.7,938.5,94.26,0.1165,0.1156,0.1147,0.1138
240/55,23.3,241,56.3,298,30,7,3.20,3.20,9.60,22.4,1070.4,117.5,0.1136,0.1127,0.1118,0.1110
250/25,9.8,244,24.0,268,22,7,3.76,2.09,6.27,21.3,846.0,72.95,0.1154,0.1145,0.1136,0.1127
