标称截面,金钢,计算截面铝阻金,计算截面铝合金,计算截面总和,铝阻金单线根数,铝合金单线根数,铝阻金芯直径,铝合金单线直径,铝阻金芯直径,绞线直径,单位长度质量,额定拉断力JLHA1/LB14,额定拉断力JLHA2/LB14,20℃直流电阻JLHA1/LB14,20℃直流电阻JLHA2/LB14
25/4,16.7,24.1,4.01,28.1,6,1,2.26,2.26,2.26,6.78,94.7,13.48,12.76,1.3254,1.3134
40/5,6.9,38.3,6.38,44.7,6,1,2.85,2.85,2.85,8.55,150.6,21.43,20.29,0.8334,0.8259
50/8,8.8,48.3,8.04,56.3,6,1,3.20,3.20,3.20,9.60,189.8,26.78,25.33,0.6611,0.6551
60/10,12.7,60.4,10.1,70.5,6,1,3.58,3.58,3.58,10.7,237.6,32.51,31.31,0.5282,0.5234
70/10,8.3,68.0,11.3,79.3,6,1,3.80,3.80,3.80,11.4,267.7,36.63,35.27,0.4688,0.4646
70/40,12.7,69.7,40.7,110,12,7,2.72,2.72,8.16,13.6,484.2,80.01,77.92,0.4154,0.4121
95/15,4.3,95.9,16.0,112,6,1,4.51,4.51,4.51,13.5,377.1,51.60,49.68,0.3328,0.3298
95/55,4.3,96.5,56.3,153,12,7,3.20,3.20,9.60,16.0,670.2,109.1,106.2,0.3002,0.2977
120/7,4.3,119,6.61,125,18,1,2.90,2.90,2.90,14.5,374.6,47.95,44.39,0.2773,0.2747
120/70,4.3,122,71.3,193,12,7,3.60,3.60,10.8,18.0,848.2,134.0,131.5,0.2372,0.2352
150/8,8.2,145,8.04,153,18,1,3.20,3.20,3.20,16.0,456.2,58.15,53.80,0.2277,0.2256
150/35,8.1,147,34.4,182,30,7,2.50,2.50,7.50,17.5,653.3,96.31,91.89,0.2144,0.2125
185/10,4.2,183,10.2,193,18,1,3.60,3.60,3.60,18.0,577.3,71.35,67.69,0.1799,0.1783
